abbrev,complete,konteks,kategori
kemana2,kemana-mana,,
kemaren,kemarin,,
kemenag,kementerian agama,,
kesel,kesal,,
ketampar,tertampar,,
kg,tidak,,
kh,kah,,
kha,kah,,
khaya,khayal,,
kira2,kira-kira,,
kk,kakak,,
kkn,kuliah kerja nyata,,
KK,kartu keluarga,,
klau,kalau,,
kli,kali,,
klo,kalau,,
klw,kalau,,
km,kamu,,
km mo,kamu mau,,
kmn,kemana  ,,
kmrin,kemarin,,
kmrn ,kemarin  ,,
kmrn2,kemarin-kemarin,,
kmu,kamu,,
kmu ,kamu,,
knapa,kenapa,,
kngn,kangen,,
knp,kenapa,,
knpa,kenapa,,
ko,kamu,,
kok,mengapa,,
komnasham,komisi nasional hak asasi manusia,,
konco2,teman-teman,,
koq,mengapa,,
koyo,seperti,,
kpd,kepada,,
kpk,Komisi Pemberantasan Korupsi Republik Indonesia,,
krn,karena,,
krna,karena,,
kro,dengan,,
kt,kata,,
ktemu,ketemu,,
ku,aku,,
kuy,ayo,,
kw,palsu,,
ky,kayak,,
kya,kayak,,
kykna,kayaknya,,
kyknya,kayaknya,,
lagih,lagi,,
lagii,lagi,,
laki2,laki-laki,,
lari2,lari-lari,,
latian,latihan,,
lbh,lebih,,
lebi,lebih,,
lg,lagi,,
lgi,lagi,,
lgsg,langsung  ,,
lgsng,langsung ,,
liat,lihat,,
liat2,lihat-lihat,,
liatt,lihat   ,,
liya,lainnya,,
lo,kamu,,
lollll,tolol,,
lom,belum,,
lpg,liquified petroleum gas,,
ls,langsung ,,
lu,kamu,,
mabar,main bareng,,
macamaaaaaa,macam-macam,,
magrib,maghrib,,
makasiii,terima kasih,,
maksutmu,maksudmu,,
male,malam jumat,,
maljum,malam jumat,,
man tu dri manga,memang tahu dari mana,,
mangkanya,makanya,,
mantep,mantap,,
marah2,marah-marah,,
masi,masih,,
maslh,masalah,,
mayan,lumayan,,
mc,main character,,
me,saya,,
medpen,metodologi penelitian,,
Meh,selamat  ,,
mekdi,mcdonalds,,
menfess,mention dan confess,,
meng,memang,,
meng,menjadi,,
menkes,menteri kesehatan,,
menko,menteri negara koordinator,,
met,selamat,,
min,admin,,
misqin,miskin,,
mkn,makan,,
mksdny,maksudnya,,
mksdnya,maksudnya,,
mksh,terima kasih,,
mksih,terima kasih,,
mlh,malah,,
mls,malas,,
mlulu,melulu,,
mmf,mohon maaf,,
mmku,mamaku,,
mna,mana,,
mnding,mending,,
mnitan,menitan,,
mo,mau,,
moga,semoga,,
mreka,mereka,,
mrip,kayak,,
msih,masih,,
mslh,masalah,,
msm,musim,,
mstnya,maksudnya,,
mv,movie,,
mw,mau,,
mywf,my wife,,
n,dan,,
nak,anak,,
nantik,nanti,,
napa,mengapa,,
nbax tau,tidak tahu,,
ndak,tidak,,
nder,pengirim,,
nek,kalau,,
nemenin,menemani,,
nen,dekat ,,
nerima,menerima,,
ngak,tidak,,
ngakak,ketawa,,
ngalamin,mengalami,,
nganterin,mengantarkan,,
ngapa,mengapa,,
ngebawa2,membawa-bawa,,
ngelapin,mengelap,,
ngeliat,melihat,,
ngerasa,merasa,,
ngga,tidak,,
nggak,tidak,,
nggilani,menjijikan,,
ngntukkkk,mengantuk,,
ngomel,mengomel,,
ngutang,berhutang,,
ni,ini,,
nih,ini,,
nika,menikah,,
njogo,menjaga,,
nnt,nani,,
nnti,nanti,,
nnton,nonton,,
nobar,nonton bareng,,
nonis,non islam,,
notif,notifikasi,,
nt,nice try,,
ntar,nanti,,
ntar,sebentar,,
ntek,habis,,
ntr,nanti,,
NU,nahdlatul ulama,,
nungguin,menunggu,,
ny,nya,,
nyamber,menyambar,,
nyesek,sesak,,
nyicil,angsur,,
nyimpul,menyimpulkan,,
nyiptain,menciptakan,,
nymk,nyimak,,
nyobain,cobain,,
nyusun,menyusun,,
ok,oke,,
okeuyyy,oke,,
ora,tidak,,
orang2,orang-orang,,
org,orang,,
orgnya,orangnya,,
orkay,orang kaya,,
ost,original soundtrack,,
otw,on the way,,
pagi2,pagi-pagi,,
pagie,pagi,,
pagiiii,pagi,,
pagipagi,pagi-pagi,,
pake,pakai,,
palagi,apalagi,,
pap,post a picture,,
papi,ayah,,
pd,pada,,
pdd,pada,,
pdhal,padahal,,
pdhl,padahal,,
pdkt,pendekatan,,
pegel2,pegal-pegal,,
pejbt,pejabat,,
pemkab,pemerintah kabupaten,,
pen,ingin,,
peng,mau,,
pengen,ingin,,
pens,fans,,
pernh,pernah,,
pg ,pagi,,
pgi,pagi,,
pgih,pergi,,
pgii!!,pagi,,
pgn,ingin,,
piara,pelihara,,
pkl,pukul,,
pling,paling,,
plng,paling,,
pls,please,,
plss,please,,
plsss,please,,
pngnnya,inginnya,,
pny,punya,,
pnya,punya,,
polbek,follow back,,
pongan,kepingin,,
ponya,purchase ordernya,,
pp,profile picture,,
pp,pemberdayaan perempuan,,
pp ,pulang pergi,,
Pprt,partisipasi,,
prasaan,perasaan,,
prenk,prank,,
prlu,perlu,,
prnh,pernah,,
prof,profesor,,
psti,pasti,,
ptn,perguruan tinggi nasional,,
pulak,juga,,
qn,kan,,
ra,tidak,,
rabb,robbi,,
rapopo,tidak apa apa,,
rasan,rasanya,,
real estat,real estate,,
redy,siap,,
rejim,rezim,,
ri,republik indonesia,,
rmh,rumah,,
rp,rupanya,,
rpl,rekognisi pembelajaran lampau,,
rpl,rekayasa perangkat lunak,,
rsa,rasa,,
rt,retweet,,
rt,rumah tangga,,
rt,rukun tetangga,,
salting,salah tingkah,,
sampe,sampai,,
samsek,sama sekali,,
sangad,sangat,,
sape,siapa,,
sayangg,sayang  ,,
sayanggg,sayang,,
sblm,sebelum,,
sbmptn,seleksi bersama masuk perguruan tinggi negeri,,
sbt,sebut,,
sd,sedang,,
sd,sekolah dasar,,
sdang,sedang,,
sdh,sudah,,
sebau,sejauh,,
selamt,selamat,,
semangaaat,semangat,,
semangadd,semangat,,
semangatt,semangat,,
sempet,sempat,,
semulajadi,semula menjadi,,
semwa,semua,,
sendirii,sendiri,,
seneng,senang,,
seng,yang,,
seng,kaleng,,
seorg,seorang,,
sept.,september,,
setart,start,,
sis,sister,,
sjj,saja,,
skrg,sekarang,,
slmt,selamat,,
sm,sama,,
sma,sekolah menengah atas,,
sma ,sama,,
smalem,semalam,,
smanagt,semangat,,
smangat ,semangat ,,
smbuh,sembuh,,
smg,semoga,,
smgt,semangat,,
smn,hanya,,
smoga,semoga,,
smp,sekolah menengah pertama,,
sms,sementara,,
smt,semester,,
smwa,semua,,
sosmed,sosial media,,
sp,siapa,,
sperti,seperti,,
spertinya,sepertinya ,,
spt,seperti,,
spti,seperti,,
srpan,sarapan,,
ss,screenshot,,
stelah,setelah,,
stlh,setelah,,
sumpahh,sumpah,,
sweenpi,sepi,,
sy ,saya,,
syapp,siap,,
takde,tidak ada,,
taluanyo,taruhannya,,
tar,sebentar,,
tar,nanti,,
taro,menaruh,,
tau,tahu,,
taun,tahun,,
tbag,teabag,,
tbh,to be honest,,
td,tadi,,
tdinya,tadinya,,
tdk,tidak,,
tdr,tidur,,
templet,template,,
terus2an,terus-terusan,,
tetep,tetap,,
tg,tag,,
thn,tahun,,
tiap,setiap,,
tida,tidak,,
tido,tidur,,
tido,tidak,,
tk,tidak,,
tkut,takut,,
tl,timeline,,
tlku,telingaku,,
tlp,telepon,,
tmn,teman,,
tmn ku ,temanku,,
tnggal,tinggal,,
tnpa,tanpa,,
tp,tapi,,
tpi,tapi,,
tq,terima kasih,,
trima,terima,,
trnyta,ternyata,,
trs,terus,,
tru,benar,,
trus,terus,,
tsel,telkomsel,,
tt  ,tiktok,,
ttep,tetap,,
ttp,tetap,,
tu,itu,,
tuh,itu,,
tuh,tahun,,
tuk,untuk,,
tw,tahun,,
twt,tweet,,
tyata,ternyata,,
u ,untuk,,
ucing,kucing,,
ucul,lucu,,
uda,sudah,,
udah,sudah,,
udh,sudah,,
undang2,undang-undang,,
unt,untuk,,
usn,username,,
ust.maher,ustad maher,,
utk,untuk,,
uwu,menggemaskan,,
vicon,video conference,,
vid,video,,
vit,vitamin,,
w,saya,,
wa,whatsapp,,
wb,wabarakatuh,,
wfh,work from home,,
wib,waktu indonesia barat,,
wilyh,wilayah,,
wit,waktu indonesia timur,,
wita,waktu indonesia tengah,,
wr,warahmatullahi,,
wtb,want to buy,,
wtf,what the fuck,,
wts,want to sell,,
y,ya,,
yaa,ya,,
yaaa,ya,,
yah,ya,,
yailah,ya allah,,
yangmu,sayangmu,,
Yatuhan,ya tuhan,,
ybs,ya bisa,,
ybs,yang bersangkutan,,
ye,yang,,
yg,yang,,
ygy,ya guys ya,,
yh,ya,,
yo,ya,,
yok,ayo,,
yu,kamu,,
yuk,ayo,,
